dia,realizada,garch,bnn
371,1.2971952371299267,1.3848104514181614,1.3117161020636559
372,1.3274036347866058,1.3807275705039501,1.324420440942049
373,1.338239461183548,1.379422191530466,1.3082228228449821
374,1.2364657595753672,1.3803457096219063,1.3130438327789307
375,1.286090575158596,1.3721086829900742,1.3131128251552584
376,1.2870089896023273,1.369035355746746,1.3077293895184996
377,1.3141516782343388,1.3663776218891146,1.312482859939337
378,1.2452910281717777,1.3652810826897623,1.3199353776872158
379,1.179443206638098,1.3579041697084906,1.3217038661241531
380,1.1232692934572697,1.3454369269311428,1.3282399252057078
381,1.1282344721257687,1.3300846144557,1.3320954702794552
382,1.0800196044147015,1.3163243420422077,1.3288918882608414
383,1.1358952708542347,1.3001151382923126,1.3115819171071053
384,1.149220485240221,1.289474256336689,1.3099019788205624
385,1.1096228845417502,1.2808268517255785,1.2979420833289625
386,1.2621279433369639,1.2693956680595875,1.2956280261278155
387,1.2539284862577915,1.2750151939690113,1.295629646629095
388,1.2134000658988953,1.2799295783042908,1.289315689355135
389,1.2335890159010887,1.2811660021543503,1.2943978235125542
